"","Year","fuel_type","emissions"
"1",1973,"coal",1220.714
"2",1973,"natural_gas",1175.252
"3",1973,"aviation",5.771
"4",1973,"kerosene",32.747
"5",1973,"motor_gasoline",911.241
"6",1973,"petroleum",2325.281
"7",1973,"other",102.153
"8",1974,"coal",1199.352
"9",1974,"natural_gas",1134.594
"10",1974,"aviation",5.66
"11",1974,"kerosene",26.704
"12",1974,"motor_gasoline",892.546
"13",1974,"petroleum",2227.39
"14",1974,"other",101.288
"15",1975,"coal",1195.102
"16",1975,"natural_gas",1042.853
"17",1975,"aviation",4.911
"18",1975,"kerosene",24.064
"19",1975,"motor_gasoline",911.268
"20",1975,"petroleum",2190.27
"21",1975,"other",96.927
"22",1976,"coal",1281.249
"23",1976,"natural_gas",1063.161
"24",1976,"aviation",4.664
"25",1976,"kerosene",25.695
"26",1976,"motor_gasoline",955.258
"27",1976,"petroleum",2350.496
"28",1976,"other",105.092
"29",1977,"coal",1315.802
"30",1977,"natural_gas",1041.406
"31",1977,"aviation",4.863
"32",1977,"kerosene",26.542
"33",1977,"motor_gasoline",979.835
"34",1977,"petroleum",2478.228
"35",1977,"other",117.689
"36",1978,"coal",1314.266
"37",1978,"natural_gas",1045.577
"38",1978,"aviation",4.941
"39",1978,"kerosene",26.575
"40",1978,"motor_gasoline",1011.917
"41",1978,"petroleum",2524.557
"42",1978,"other",129.028
"43",1979,"coal",1427.55
"44",1979,"natural_gas",1080.846
"45",1979,"aviation",4.862
"46",1979,"kerosene",28.454
"47",1979,"motor_gasoline",960.397
"48",1979,"petroleum",2441.816
"49",1979,"other",136.718
"50",1980,"coal",1453.891
"51",1980,"natural_gas",1058.408
"52",1980,"aviation",4.45
"53",1980,"kerosene",24.056
"54",1980,"motor_gasoline",900.614
"55",1980,"petroleum",2244.35
"56",1980,"other",134.068
"57",1981,"coal",1503.037
"58",1981,"natural_gas",1032.434
"59",1981,"aviation",3.891
"60",1981,"kerosene",19.215
"61",1981,"motor_gasoline",899.38
